"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30315","Activity Template_Validate Delete Activty template","chromium","Sun Aug 31 14:05:28 UTC 2025","passed","Sun Aug 31 14:05:59 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","135116","Activity Template_Quick Search for each column","chromium","Sun Aug 31 14:05:23 UTC 2025","passed","Sun Aug 31 14:07:38 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","68167","Activity Template_Edit details","chromium","Sun Aug 31 14:04:15 UTC 2025","passed","Sun Aug 31 14:05:23 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","38106","@pageloadtests Activity Template_Navigate to Admin_MasterFiles_ActivityTemplate","chromium","Sun Aug 31 14:04:15 UTC 2025","passed","Sun Aug 31 14:04:53 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","16544","Activity Template_Validate Maintain Communication Template Field","chromium","Sun Aug 31 14:05:11 UTC 2025","failed","Sun Aug 31 14:05:27 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","38761","Activity Template_Validate Mandatory fields","chromium","Sun Aug 31 14:04:15 UTC 2025","passed","Sun Aug 31 14:04:53 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","361855","Activity Template_Validate Maintain Reports Field","chromium","Sun Aug 31 14:04:53 UTC 2025","broken","Sun Aug 31 14:10:55 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","34946","Activity Template_Create Activity template with Only Mandatory fields","chromium","Sun Aug 31 14:04:53 UTC 2025","passed","Sun Aug 31 14:05:28 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","21829","Activity Template_Validate Page Controls","chromium","Sun Aug 31 14:05:28 UTC 2025","passed","Sun Aug 31 14:05:49 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","56347","Activity Template_Add New Record and Validate details","chromium","Sun Aug 31 14:04:15 UTC 2025","passed","Sun Aug 31 14:05:11 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
