"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17639","Activity Template_Validate Mandatory fields","chromium","Fri Sep 05 10:51:24 UTC 2025","passed","Fri Sep 05 10:51:41 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","360386","Activity Template_Validate Maintain Reports Field","chromium","Fri Sep 05 10:52:17 UTC 2025","broken","Fri Sep 05 10:58:17 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","20133","Activity Template_Validate Delete Activty template","chromium","Fri Sep 05 11:00:42 UTC 2025","passed","Fri Sep 05 11:01:02 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","44586","Activity Template_Edit details","chromium","Fri Sep 05 10:50:39 UTC 2025","passed","Fri Sep 05 10:51:24 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","131113","Activity Template_Quick Search for each column","chromium","Fri Sep 05 10:58:31 UTC 2025","passed","Fri Sep 05 11:00:42 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","17994","Activity Template_Validate Page Controls","chromium","Fri Sep 05 11:01:02 UTC 2025","passed","Fri Sep 05 11:01:20 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","11981","Activity Template_Validate Maintain Communication Template Field","chromium","Fri Sep 05 10:58:18 UTC 2025","failed","Fri Sep 05 10:58:30 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","18201","@pageloadtests Activity Template_Navigate to Admin_MasterFiles_ActivityTemplate","chromium","Fri Sep 05 10:49:31 UTC 2025","passed","Fri Sep 05 10:49:49 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","50298","Activity Template_Add New Record and Validate details","chromium","Fri Sep 05 10:49:49 UTC 2025","passed","Fri Sep 05 10:50:39 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","35514","Activity Template_Create Activity template with Only Mandatory fields","chromium","Fri Sep 05 10:51:41 UTC 2025","passed","Fri Sep 05 10:52:17 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
