"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16696","Activity Type_User should not be able to Delete System Activity Type","chromium","Wed Aug 27 08:07:07 UTC 2025","passed","Wed Aug 27 08:07:24 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","361498","Activity Type_Newly created Activity type should be displayed in Activity dropdown","chromium","Wed Aug 27 08:07:32 UTC 2025","broken","Wed Aug 27 08:13:34 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","14165","Activity Template_Validate Page Controls","chromium","Wed Aug 27 08:04:05 UTC 2025","passed","Wed Aug 27 08:04:19 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","22923","Activity Template_Create Activity template with Only Mandatory fields","chromium","Wed Aug 27 08:00:58 UTC 2025","passed","Wed Aug 27 08:01:21 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","14459","Activity Template_Validate Mandatory fields","chromium","Wed Aug 27 08:00:44 UTC 2025","passed","Wed Aug 27 08:00:58 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","17319","Activity Type_Create Activity Type with Mandatory fields","chromium","Wed Aug 27 08:05:42 UTC 2025","failed","Wed Aug 27 08:06:00 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","13708","Activity Type_Validate Page Controls","chromium","Wed Aug 27 08:07:24 UTC 2025","passed","Wed Aug 27 08:07:37 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","24747","Activity Type_Add New Record and Validate details","chromium","Wed Aug 27 08:04:30 UTC 2025","passed","Wed Aug 27 08:04:55 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","91895","Activity Type_Quick Search for each column","chromium","Wed Aug 27 08:06:00 UTC 2025","passed","Wed Aug 27 08:07:32 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","34538","Activity Template_Add New Record and Validate details","chromium","Wed Aug 27 08:00:09 UTC 2025","passed","Wed Aug 27 08:00:44 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","11212","Activity Type_Validate Mandatory fields","chromium","Wed Aug 27 08:05:31 UTC 2025","passed","Wed Aug 27 08:05:42 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","35999","Activity Type_Edit Existing Record and Validate details","chromium","Wed Aug 27 08:04:55 UTC 2025","passed","Wed Aug 27 08:05:31 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
"","361882","Activity Template_Validate Maintain Reports Field","chromium","Wed Aug 27 08:01:04 UTC 2025","broken","Wed Aug 27 08:07:06 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","38261","Activity Template_Edit details","chromium","Wed Aug 27 08:00:26 UTC 2025","passed","Wed Aug 27 08:01:04 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","11254","Activity Template_Validate Maintain Communication Template Field","chromium","Wed Aug 27 08:01:21 UTC 2025","failed","Wed Aug 27 08:01:33 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","129885","Activity Template_Quick Search for each column","chromium","Wed Aug 27 08:01:33 UTC 2025","passed","Wed Aug 27 08:03:43 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","16669","@pageloadtests Activity Template_Navigate to Admin_MasterFiles_ActivityTemplate","chromium","Wed Aug 27 08:00:09 UTC 2025","passed","Wed Aug 27 08:00:26 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","21577","Activity Template_Validate Delete Activty template","chromium","Wed Aug 27 08:03:43 UTC 2025","passed","Wed Aug 27 08:04:05 UTC 2025","","Admin_MasterFiles_ActivityTemplate.spec.js","",""
"","11248","@pageloadtests Activity Type_Navigate to Admin_MasterFiles_ActivityType","chromium","Wed Aug 27 08:04:19 UTC 2025","passed","Wed Aug 27 08:04:30 UTC 2025","","Admin_MasterFiles_ActivityType.spec.js","",""
