"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61194","InquireByUserInvoices_Click on Account Details","chromium","Sat Sep 06 11:49:08 UTC 2025","failed","Sat Sep 06 11:50:10 UTC 2025","","InquiesByUserInvoices.spec.js","",""
"","26274","InquireByUserInvoices_Click on Best Fit","chromium","Sat Sep 06 11:47:14 UTC 2025","passed","Sat Sep 06 11:47:40 UTC 2025","","InquiesByUserInvoices.spec.js","",""
"","40855","Should copy an existing view setting","chromium","Sat Sep 06 11:54:46 UTC 2025","passed","Sat Sep 06 11:55:26 UTC 2025","Followup View Settings Tests","InquiesByUserInvoices.spec.js","",""
"","28244","Should navigate to Setup Alerts page","chromium","Sat Sep 06 11:51:02 UTC 2025","passed","Sat Sep 06 11:51:30 UTC 2025","Invoices Alert Tests","InquiesByUserInvoices.spec.js","",""
"","35500","Should save current view settings with a name","chromium","Sat Sep 06 11:54:10 UTC 2025","passed","Sat Sep 06 11:54:46 UTC 2025","Followup View Settings Tests","InquiesByUserInvoices.spec.js","",""
"","37046","Should set a schedule for an alert","chromium","Sat Sep 06 11:52:48 UTC 2025","passed","Sat Sep 06 11:53:25 UTC 2025","Invoices Alert Tests","InquiesByUserInvoices.spec.js","",""
"","31330","Should navigate to View Settings page","chromium","Sat Sep 06 11:53:39 UTC 2025","passed","Sat Sep 06 11:54:10 UTC 2025","Followup View Settings Tests","InquiesByUserInvoices.spec.js","",""
"","32144","Should save current alert settings with a name","chromium","Sat Sep 06 11:53:25 UTC 2025","passed","Sat Sep 06 11:53:57 UTC 2025","Invoices Alert Tests","InquiesByUserInvoices.spec.js","",""
"","31041","InquireByUserInvoices_Click on Clear Search Box","chromium","Sat Sep 06 11:48:37 UTC 2025","passed","Sat Sep 06 11:49:08 UTC 2025","","InquiesByUserInvoices.spec.js","",""
"","29939","InquireByUserInvoices_Click on Density Comfortable","chromium","Sat Sep 06 11:48:07 UTC 2025","failed","Sat Sep 06 11:48:36 UTC 2025","","InquiesByUserInvoices.spec.js","",""
"","68403","@pageloadtests InquireByUserInvoices_Navigate to InquireByUserInvoices","chromium","Sat Sep 06 11:45:45 UTC 2025","failed","Sat Sep 06 11:46:54 UTC 2025","","InquiesByUserInvoices.spec.js","",""
"","33928","Should load a saved alert configuration","chromium","Sat Sep 06 11:51:55 UTC 2025","passed","Sat Sep 06 11:52:28 UTC 2025","Invoices Alert Tests","InquiesByUserInvoices.spec.js","",""
"","22466","InquireByUserInvoices_Verify Total Amount and Balance","chromium","Sat Sep 06 11:50:55 UTC 2025","passed","Sat Sep 06 11:51:18 UTC 2025","","InquiesByUserInvoices.spec.js","",""
"","40919","Should delete an existing view setting","chromium","Sat Sep 06 11:55:52 UTC 2025","passed","Sat Sep 06 11:56:33 UTC 2025","Followup View Settings Tests","InquiesByUserInvoices.spec.js","",""
"","123125","Invoices page_ Verify that user is able to navigate to intallments and add installments","chromium","Sat Sep 06 11:58:13 UTC 2025","broken","Sat Sep 06 12:00:16 UTC 2025","","InquiesByUserInvoices.spec.js","",""
"","24980","InquireByUserInvoices_Click on Density Compact","chromium","Sat Sep 06 11:47:40 UTC 2025","failed","Sat Sep 06 11:48:05 UTC 2025","","InquiesByUserInvoices.spec.js","",""
"","26953","InquireByUserInvoices_Click on Density Standard","chromium","Sat Sep 06 11:47:50 UTC 2025","failed","Sat Sep 06 11:48:17 UTC 2025","","InquiesByUserInvoices.spec.js","",""
"","123180","Invoices page_ Verify that user is able to navigate invoices page","chromium","Sat Sep 06 11:56:09 UTC 2025","broken","Sat Sep 06 11:58:12 UTC 2025","","InquiesByUserInvoices.spec.js","",""
"","35227","Should edit an existing alert","chromium","Sat Sep 06 11:51:30 UTC 2025","passed","Sat Sep 06 11:52:05 UTC 2025","Invoices Alert Tests","InquiesByUserInvoices.spec.js","",""
"","41804","Should load a saved view configuration","chromium","Sat Sep 06 11:55:10 UTC 2025","passed","Sat Sep 06 11:55:52 UTC 2025","Followup View Settings Tests","InquiesByUserInvoices.spec.js","",""
"","36366","Should display existing view settings in the table","chromium","Sat Sep 06 11:53:57 UTC 2025","passed","Sat Sep 06 11:54:33 UTC 2025","Followup View Settings Tests","InquiesByUserInvoices.spec.js","",""
"","122709","InquireByUserInvoices_Click on Row Checkbox","chromium","Sat Sep 06 11:48:52 UTC 2025","broken","Sat Sep 06 11:50:54 UTC 2025","","InquiesByUserInvoices.spec.js","",""
"","35190","Should process an alert","chromium","Sat Sep 06 11:53:04 UTC 2025","passed","Sat Sep 06 11:53:39 UTC 2025","Invoices Alert Tests","InquiesByUserInvoices.spec.js","",""
"","50195","InquireByUserInvoices_Click on New Activity","chromium","Sat Sep 06 11:50:11 UTC 2025","failed","Sat Sep 06 11:51:01 UTC 2025","","InquiesByUserInvoices.spec.js","",""
"","35121","Should delete an existing alert","chromium","Sat Sep 06 11:52:28 UTC 2025","passed","Sat Sep 06 11:53:04 UTC 2025","Invoices Alert Tests","InquiesByUserInvoices.spec.js","",""
"","42572","Should configure columns for an alert_Naviagte to Alert Columns","chromium","Sat Sep 06 11:52:05 UTC 2025","passed","Sat Sep 06 11:52:48 UTC 2025","Invoices Alert Tests","InquiesByUserInvoices.spec.js","",""
