"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30742","Create New Activity_With Voice Message--(Not implemented yet)","chromium","Fri Sep 05 08:45:05 UTC 2025","failed","Fri Sep 05 08:45:35 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","56692","Create New Activity_forward email","chromium","Fri Sep 05 08:42:41 UTC 2025","passed","Fri Sep 05 08:43:38 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","45970","Create New Activity_With Notes and save it as Draft","chromium","Fri Sep 05 08:46:44 UTC 2025","passed","Fri Sep 05 08:47:30 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","120932","Create New Activity_With email template","chromium","Fri Sep 05 08:42:05 UTC 2025","broken","Fri Sep 05 08:44:06 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","45589","Create New Activity_With Expected Payments","chromium","Fri Sep 05 08:44:07 UTC 2025","passed","Fri Sep 05 08:44:53 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","91414","Create New Activity_With email only (without template)","chromium","Fri Sep 05 08:41:10 UTC 2025","passed","Fri Sep 05 08:42:41 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","50328","Create New Activity_With Notes, Add contacts and Tagged Invoices","chromium","Fri Sep 05 08:47:30 UTC 2025","passed","Fri Sep 05 08:48:21 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","30029","Create New Activity_With Text Only--(Not implemented yet)","chromium","Fri Sep 05 08:45:36 UTC 2025","failed","Fri Sep 05 08:46:06 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","47475","Create New Activity_With Attachments","chromium","Fri Sep 05 08:43:38 UTC 2025","passed","Fri Sep 05 08:44:25 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","100291","Create New Activity_With Notes, Expected payments and email","chromium","Fri Sep 05 08:48:17 UTC 2025","passed","Fri Sep 05 08:49:57 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","55372","Create New Activity_With followup only","chromium","Fri Sep 05 08:41:10 UTC 2025","passed","Fri Sep 05 08:42:05 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","81303","Create New Activity_With followup, email and attachament","chromium","Fri Sep 05 08:46:54 UTC 2025","failed","Fri Sep 05 08:48:15 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","120316","Create New Activity_With Transactions","chromium","Fri Sep 05 08:44:53 UTC 2025","broken","Fri Sep 05 08:46:53 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","36857","Create New Activity_Cancel btn","chromium","Fri Sep 05 08:46:07 UTC 2025","passed","Fri Sep 05 08:46:44 UTC 2025","","React_CreateNewActivity.spec.js","",""
"","39424","Create New Activity_With Notes","chromium","Fri Sep 05 08:44:25 UTC 2025","passed","Fri Sep 05 08:45:05 UTC 2025","","React_CreateNewActivity.spec.js","",""
